number,doi,citekey
86,10.1021/acs.jpclett.5c00104,franssonChiralInducedSpin2025a
87,10.1038/s41467-024-55433-1,zhaoMagnetochiralChargePumping2025
88,10.1126/sciadv.adn3240,sunColossalAnisotropicAbsorption2024
89,10.1103/PhysRevE.98.052221,diazEffectiveNonlinearModel2018a
90,10.1021/acs.nanolett.9b01707,dalumTheoryChiralInduced2019
91,10.1021/acsnano.0c07438,liuLinearNonlinearTwoTerminal2020a
92,10.1103/PhysRevB.109.155141,guptaCurrentinducedSpinPolarization2024
93,10.1103/PhysRevB.104.155420,yangLinearresponseMagnetoresistanceEffects2021
94,10.1103/PhysRevLett.127.126602,stephensLongRangeSpinCurrents2021
95,10.1103/PhysRevLett.124.166602,inuiChiralityInducedSpinPolarizedState2020a
96,10.1038/s41535-022-00447-5,cheongMagneticChirality2022
97,10.1002/adma.201904965,kulkarniHighlyEfficientTunable2020a
98,10.1038/ncomms10744,eckshtain-leviColdDenaturationInduces2016
99,10.1016/j.newton.2025.100009,wagnerProbingChiralSymmetry2025
100,10.1103/PhysRevB.106.085130,sacramentoTopologicalStatesChiral2022
101,10.1063/1.4820907,gerstenInducedSpinFiltering2013
102,10.1021/jacs.5c08517,liTooFastSpin2025
103,10.1038/s41563-018-0169-3,changTopologicalQuantumProperties2018
104,10.1103/PhysRevB.90.045130,hosurTimereversalinvariantTopologicalSuperconductivity2014
105,10.1038/s41467-023-40884-9,adhikariInterplayStructuralChirality2023a
106,10.1063/1.5007071,kershawNonequilibriumGreensFunction2017
107,10.1063/5.0023275,kershawNonadiabaticEffectsNuclear2020
108,10.1063/5.0039371,bianModelingNonadiabaticDynamics2021
109,10.1063/5.0093092,bianMeaningBerryForce2022
110,10.1103/PRXQuantum.6.020101,suarez-foreroChiralQuantumOptics2025
111,10.1126/science.1199339,gohlerSpinSelectivityElectron2011
112,10.1038/s41598-023-48503-9,katsantonisGiantEnhancementNonreciprocity2023
113,10.1021/acs.jchemed.0c01061,andrewsPhysicalPrinciplesCircular2020
114,10.1063/1.3167404,yeganehChiralElectronTransport2009
115,10.1209/0295-5075/99/17006,medinaChiralMolecularFilms2012a
116,10.1088/0953-8984/26/1/015008,varelaInelasticElectronScattering2014a
117,10.1021/acs.jpclett.8b00208,kettnerChiralityDependentElectronSpin2018
118,10.1103/PhysRevResearch.7.023111,xuFrohlichBoseEinsteinCondensation2025
119,10.1103/PhysRevA.23.1982,dacostaQuantumMechanicsConstrained1981
120,10.1021/jp401705x,gutierrezModelingSpinTransport2013
121,10.1063/5.0005181,geyerEffectiveHamiltonianModel2020a
122,10.1103/PhysRevLett.61.2639,mashhoonNeutronInterferometryRotating1988
123,10.1103/PhysRevB.84.104410,matsuoSpindependentInertialForce2011
124,10.1103/PhysRevLett.106.076601,matsuoEffectsMechanicalRotation2011
125,10.1103/PhysRevLett.129.037704,shekhterMagnetoconductanceAnisotropiesAharonovCasher2022
126,10.1039/C8CP07257D,nurenbergEvaluationSpinflipScattering2019
127,10.1103/PhysRevB.85.081404,gutierrezSpinselectiveTransportHelical2012a
128,10.1103/PhysRevLett.108.218102,guoSpinSelectiveTransportElectrons2012a
129,10.1021/acs.jctc.0c00621,zollnerInfluenceElectronicStructure2020
130,10.1063/5.0149363,choPureDephasingQuantum2023
131,10.1103/PhysRevB.86.115441,guoSequencedependentSpinselectiveTunneling2012
132,10.1103/PhysRevB.95.085411,matityahuSpinFilteringAllelectrical2017
133,10.1103/PhysRevB.93.155436,varelaEffectiveSpinorbitCouplings2016a
134,10.1021/acs.jpcc.9b07764,geyerChiralityInducedSpinSelectivity2019
135,10.1103/PhysRevLett.125.263002,liChiralInducedSpin2020
136,10.1103/PhysRevB.102.235416,franssonVibrationalOriginExchange2020a
137,10.1021/acs.nanolett.1c00183,franssonChargeRedistributionSpin2021
138,10.1021/acs.jpclett.2c03224,vittmannSpinDependentMomentumConservation2023a
139,10.1103/PhysRevB.106.184302,tehSpinPolarizationMolecular2022a
140,10.1103/PhysRevB.104.024430,volosnievInterplayFrictionSpinorbit2021
141,10.1103/PhysRevB.102.214303,zhangChiralinducedSpinSelectivity2020
142,10.1021/acs.jpclett.9b02929,franssonChiralityInducedSpinSelectivity2019a
143,10.1021/acs.nanolett.0c02216,dianatRoleExchangeInteractions2020
144,10.1063/5.0171742,kaponProbingChiralDiscrimination2023
145,10.1021/acs.nanolett.4c00383,chenPersistentChiralityInducedSpinSelectivity2024
146,10.1021/acsnano.2c11410,dednamGroupTheoreticApproachOrigin2023
147,10.1103/PhysRevB.92.115418,panEffectGateVoltage2015
148,10.7566/JPSJ.88.064702,sasaoSpinCurrentInducedMechanical2019
149,10.1021/acs.jpclett.4c01362,franssonCurrentInducedSpinPolarization2024a
150,10.1021/acs.nanolett.1c04705,chenChiralPhononDiode2022
